ubigeo,n_facilities,mean,max,emergencias_total
CONAYCA,1.0,8629.742940864518,8632.42497361475,
CONCEPCION,3.0,8557.875525832911,8698.704046054534,
CONCHAMARCA,2.0,8894.31915395984,8901.156977395638,
CONCHAN,7.0,9286.02274562573,9290.810003646102,
CONCHUCOS,4.0,9089.285404999586,9102.377653130183,
CONDEBAMBA,5.0,9166.215344232216,9172.794804158206,
CONDORMARCA,1.0,9166.03787933305,9173.758661860076,
CONDOROMA,1.0,8356.838602649801,8374.848281812378,
CONDURIRI,2.0,8232.078448507153,8247.862140905472,
CONGALLA,5.0,8583.148676723651,8591.016589381075,
CONGAS,1.0,8860.554929003049,8865.925753550564,
CONILA,3.0,9320.983189267015,9328.321997400368,
CONIMA,2.0,8356.136992111054,8359.6389118111,
CONSTITUCION,13.0,,,
CONTAMANA,6.0,9182.675760900269,9214.915696656817,
CONTUMAZA,5.0,9186.617305475513,9197.001991237676,
COPALLIN,6.0,,,
COPALLÍN,,9373.665816300465,9377.06573588152,
COPANI,1.0,8258.066592426436,8262.170179957575,
COPARAQUE,,8316.678155544048,8320.859614638799,
COPORAQUE,4.0,8407.767786584316,8433.324537699065,
CORA CORA,,8408.579508129747,8408.579508129747,
CORACOCRA,,8401.817736935125,8401.817736935125,
CORACORA,8.0,8389.008373135006,8420.57746772436,
CORANI,5.0,8512.636147150566,8529.498015833442,
CORCULLA,1.0,8341.402668915216,8343.923184611776,
CORDOVA,1.0,8464.73359627297,8471.791240748122,
CORONEL CASTAÑEDA,3.0,8396.93079919829,8409.519181314983,
CORONEL GREGORIO ALBARRACIN L.,5.0,,,
CORONEL GREGORIO ALBARRACIN LANCHIP,,8055.985713460465,8061.417591360675,
CORONGO,1.0,9053.805636984423,9057.845520467656,
COROSHA,1.0,9357.707188891132,9361.462623903773,
CORRALES,4.0,9601.688550109346,9608.997980283464,
CORTEGANA,6.0,9284.889813079744,9293.212572869797,
COSPAN,3.0,9173.190188245568,9183.720136924056,
COTABAMBAS,4.0,8514.004831927405,8522.01884382202,
COTAHUASI,1.0,8346.052835924342,8350.987611009345,
COTAPARACO,1.0,8902.153133379627,8910.428484620601,
COTARUSE,8.0,8418.187718529816,8440.84585729757,
COVIRIALI,6.0,8766.06436494486,8771.077770730515,
COYLLURQUI,7.0,8497.019988261152,8510.929527175425,
CRISTO NOS VALGA,2.0,9388.12190056635,9391.853934618113,
CRUCERO,3.0,8474.507372017511,8487.930734758751,
CUCHUMBAYA,3.0,8197.436945062507,8199.693381146888,
CUENCA,3.0,8643.391440649073,8668.047382543302,
CUISPES,,9347.928755844421,9351.421879581647,
CUJILLO,4.0,9322.58200135068,9327.085541460936,
CULEBRAS,3.0,8909.546289525995,8919.013620036865,
CULLHUAS,3.0,8658.773890832621,8663.746121369137,
CUPISNIQUE,2.0,9184.658811722204,9191.292820656423,
CURA MORI,4.0,9402.561373678713,9410.089933556577,
CURAHUASI,14.0,8528.876232923794,8538.300277700633,
CURASCO,2.0,8476.559340508025,8483.305647003324,
CURGOS,1.0,9133.500007669654,9138.909748071275,
CURIBAYA,1.0,8131.317567435807,8137.085693583986,
CURICACA,1.0,8708.467592419705,8712.218474857438,
CURIMANA,6.0,9078.908755122276,9088.808771144406,
CURPAHUASI,4.0,8484.103031487828,8497.062727338352,
CUSIPATA,2.0,8509.129918301596,8515.53864636842,
CUTERVO,56.0,9292.895056297246,9305.461443774215,
CUTURAPI,1.0,8267.838180005136,8269.571888959366,
CUYOCUYO,4.0,8461.42787900933,8469.436125098782,
CUÑUMBUQUI,6.0,9276.511558941418,9287.922833508395,
DANIEL ALOMIA ROBLES,4.0,8986.277602094284,8995.629383776057,
DANIEL ALOMIAS ROBLES,,8984.959296065057,8995.628329296076,
DANIEL HERNANDEZ,2.0,8651.162236151287,8657.533083683618,
DEAN VALDIVIA,3.0,8147.57302669155,8155.34544318842,
DESAGUADERO,,8232.215399586965,8239.993761463687,
ECHARATE,19.0,8649.746745191167,8802.472712496063,
EDUARDO VILLANUEVA,1.0,9176.042133818168,9178.357930502018,
EL AGUSTINO,12.0,8671.776432349154,8673.065384017134,
EL ALGARROBAL,,8101.089047454632,8116.156689321121,
EL ALTO,5.0,9528.178609714385,9531.305690821502,
